# Format: "Card Name",SET,https://link-to-png
# Drop your own list here, one card per line, optional quantity prefix.
"Grasp of the Hieromancer",ORI,https://cards.scryfall.io/png/front/6/a/6a8740d2-7fcf-4bdf-afea-0c28c025370c.png?1783938362
"Maritime Guard",ORI,https://cards.scryfall.io/png/front/1/0/1008ff1b-7fb0-4570-b23e-9fda14b97640.png?1783938350
"Gold-Forged Sentinel",ORI,https://cards.scryfall.io/png/front/c/9/c9fdf08b-b812-4ad9-a4ca-3a9b7000b749.png?1783938311
"Clash of Wills",ORI,https://cards.scryfall.io/png/front/6/6/665ee42f-8d76-4f8b-9dd3-7455a90f0da7.png?1783938353
"Murder Investigation",ORI,https://cards.scryfall.io/png/front/0/7/07d8d6f7-ed22-4e01-9aeb-c6bc0065c89c.png?1783938359
"Yoked Ox",ORI,https://cards.scryfall.io/png/front/4/3/431069f2-3eba-42f3-b42d-05a7d066b665.png?1783938356
"Caves of Koilos",ORI,https://cards.scryfall.io/png/front/c/a/ca145c1c-537a-459e-9241-0b95368aaf3a.png?1783938308
"Celestial Flare",ORI,https://cards.scryfall.io/png/front/8/9/89bb3b06-b33b-4897-882e-75b75790ea02.png?1783938363
"Serra Disciple",DOM,https://cards.scryfall.io/png/front/8/3/8359c3a8-d826-4326-a899-9f60ca774308.png?1783935036
"Bloodstone Goblin",DOM,https://cards.scryfall.io/png/front/3/1/31adbfd4-56aa-4137-aeba-8720233260be.png?1783934998
"Arbor Armament",DOM,https://cards.scryfall.io/png/front/b/c/bceb365c-5de6-47ae-b42d-7fbce7781f8e.png?1783934983
"Caligo Skin-Witch",DOM,https://cards.scryfall.io/png/front/2/e/2e23ee25-2005-4e81-a807-f52c0dbfb192.png?1783935014
"Unwind",DOM,https://cards.scryfall.io/png/front/9/7/97da6607-9131-4f8b-8af3-63439a59b78b.png?1783935018
"Excavation Elephant",DOM,https://cards.scryfall.io/png/front/7/6/760ce08a-49d3-4cdf-bbe2-33dd8a6a7966.png?1783935045
"Mesa Unicorn",DOM,https://cards.scryfall.io/png/front/c/f/cf6ed7b5-08ee-4d2c-9bf8-03a1b85b635a.png?1783935039
"Voltaic Servant",DOM,https://cards.scryfall.io/png/front/2/8/28564ac6-8b9b-4b99-9630-8fb3158d354c.png?1783934952
"Blink of an Eye",DOM,https://cards.scryfall.io/png/front/a/b/ab830392-4d7e-4b45-93cf-35ed1e935228.png?1783935030
"Skittering Surveyor",DOM,https://cards.scryfall.io/png/front/9/0/90c7bea0-79c9-4856-8279-cef7cee82fc1.png?1783934953
"Cast Down",DOM,https://cards.scryfall.io/png/front/1/1/116ce944-6871-4f51-a889-d9c4a5d7cff2.png?1783935014
"Fungal Plots",DOM,https://cards.scryfall.io/png/front/5/6/56419f2a-63cf-4ab7-bad0-b0f773fc0570.png?1783934981
"Yargle, Glutton of Urborg",DOM,https://cards.scryfall.io/png/front/6/4/645cfc1b-76f2-4823-9fb0-03cb009f8b32.png?1783934999
"Territorial Allosaurus",DOM,https://cards.scryfall.io/png/front/3/d/3d8ac2b0-47ea-4aa3-bf24-c78227a0c913.png?1783934971
